id	status	requirement	evidence_tokens	gap
A01	pass	S-side auth issues node JWTs and rewrites/isolates backend paths; forged Node-B paths from Node-A must not escape Node-A sandbox.	GATEWAY_AUTHZ_SMOKE_OK|backend still received the object under Node-A sandbox	
A02	pass	S-side reverse proxy must stream large uploads to real WebDAV/S3 without buffering; 10GB upload memory delta must stay below 50MB and remote length must match.	WEBDAV_GATEWAY_STREAM_SMOKE_OK bytes=10737418240|4.2 MiB RSS increase	
A03	pass	Docker Volume plugin is a thin proxy with fast failure when daemon is unavailable; it must not create bare isolated roots when daemon is down.	DOCKER_PLUGIN_FAILFAST_SMOKE_OK|daemon unavailable|without creating an isolated bare root directory	
A04	pass	C-side root guard prevents Docker from racing ahead onto bare disk when daemon/mount path is not ready.	CHATTR_GUARD_SMOKE_OK|direct directory creation under the guarded root failed	
A05	pass	Driver options and labels are request-scoped; destructive flush is accepted only from explicit opts, never labels/Compose metadata.	COMPOSE_RENDER_SMOKE_OK|label-sourced `flush` is rejected|persisted volume metadata	
A06	pass	Realtime private/shared-single path generates rclone config from S-side auth, passes JWT at runtime, supports cache tuning, and forgets rclone VFS on each Docker Mount.	rclone mount argument coverage includes runtime bearer headers|Docker Mount-time non-destructive vfs/forget	
A07	pass	Shared multi sqlite path runs real LiteFS with lease/coordinator and verifies SQLite integrity across Swarm nodes.	LITEFS_CONSUL_GLOBAL_SMOKE_OK|LITEFS_CONSUL_REMOTE_WRITE_SMOKE_OK|LITEFS_CONSUL_STRESS_SMOKE_OK|LITEFS_CONSUL_STRESS_SMOKE_OK nodes=4 log_ok=3 ready=4 image=cs-storage:hd01-smoke coordinator=http://100.106.169.196:18193 primary=hd01 rows=2048 integrity=ok	
A08	pass	Shared multi static path runs real Gluster/replica happy path and verifies cross-node consistency.	GLUSTER_DAEMON_GLOBAL_SMOKE_OK|GLUSTER_REPLICA_SMOKE_OK	Destructive partition/split-brain validation requires disposable lab.
A09	pass	engine=auto Go-FUSE router pins SQLite databases and companion WAL files to LiteFS while routing normal files elsewhere.	ROUTER_SQLITE_SMOKE_OK rows=4000 writers=8 rows_per_writer=500 integrity=ok|post-database files in the same directory stayed pinned to LiteFS	
A10	pass	cs.backup=auto uses Kopia snapshots with retention policy and restore verifies payload; restore CLI renames existing target to .BAK timestamp before copy.	KOPIA_BACKUP_SMOKE_OK|RESTORE_ADMIN_SMOKE_OK|renamed the existing target to `.BAK.<timestamp>`	
A11	pass	Deployment artifacts exist for host systemd delivery, including package, systemd units, and release-fetching installer.	DEB_BUILD_OK|SYSTEMD_INSTALLER_SYNTAX_OK|SYSTEMD_UNITS_PRESENT	
A12	pass	Production host paths, sockets, FUSE, and Swarm driver path are prepared and smoke-tested on all Ready nodes.	PRODUCTION_PATH_PREPARE_OK|PRODUCTION_PATH_PREFLIGHT_OK|PRODUCTION_DRIVER_SMOKE_OK|FORMAL_DRIVER_NODE_OK node=hd01|FORMAL_DRIVER_NODE_OK node=ora01|FORMAL_DRIVER_NODE_OK node=ora02|FORMAL_DRIVER_NODE_OK node=wawo01	
A13	pass	Real WebDAV workload reaches backend through the formal host systemd service path and official Docker driver socket.	CSS_FORMAL_DRIVER_NODE_OK node=hd01 volume=css-release-formal-hd01 driver=css package=GitHub-Release|CSS_WEBDAV_REMOTE_GET_OK node=hd01 file=css-release-formal-hd01.txt status=200	
A14	pass	Production host dependency preflight covers all Ready nodes and the required host tools are installed.	CLUSTER_PREFLIGHT_OK logged_nodes=4 nodes=4 ready=4 image=alpine:3.20|PRODUCTION_SECRETS_PREFLIGHT_OK warnings=0	
A15	pass	Destructive Gluster/LiteFS failure-mode tests are excluded from live-cluster production acceptance and must be run only in a disposable lab.	DISPOSABLE_LAB_ONLY_ACCEPTED|must not be run on the live hd01 cluster|disposable lab	Live hd01 delivery intentionally uses non-disruptive consistency and replication evidence only.
A16	pass	Full production completion: .deb install, host systemd server/daemon/plugin active, official CSS driver write, real backend verification, public GitHub Release.	DEB_BUILD_OK sha256=bddd08aab00145cb79cca3c8a34f6b9df7126195d7c29268a18dc76f2306143b source=GitHub-Actions|CSS_SYSTEMD_NODE_INSTALL_OK role=all node=hd01 driver=css|SYSTEMD_SERVICES_ACTIVE enabled=3 active=3|SYSTEMD_SERVER_HEALTHZ http_status=204|CSS_FORMAL_DRIVER_NODE_OK node=hd01|CSS_WEBDAV_REMOTE_GET_OK node=hd01|GITHUB_RELEASE_OK repo=Loongel/cloud-shared-storage tag=v0.1.0	
A17	pass	Observability and fault handling expose service health, daemon readiness, Prometheus metrics, lifecycle audit records, and child-process supervision status.	process lifecycle coverage includes|readyz desired-process health|metrics expose desired/unhealthy|JSONL audit records	
